电影名,年份,评分,评价人数
机器人之梦,2023,9.1,342432
萤火虫之墓,1988,8.7,428921
奇迹男孩,2017,8.6,586232
战争之王,2005,8.7,401730
千年女优,2001,8.8,303979
步履不停,2008,8.8,309897
血钻,2006,8.7,410080
谍影重重2,2004,8.7,384240
蜘蛛侠：平行宇宙,2018,8.6,731665
魂断蓝桥,1940,8.8,301007
房间,2015,8.8,391331
冰雪奇缘,2013,8.5,777406
隐藏人物,2016,8.9,255011
谍影重重,2002,8.6,468246
弱点,2009,8.7,344673
